No,ExpNo,ExtractionType,Treatment,Species,Condition,Dilution,techRepNumber,isoRepNumber,HostVariety,TreatmentCode,ExpCode,645nm_without_adj,646nm_without_adj,663nm_without_adj,645nm,646nm,663nm,Volume,ChlorophyllA,ChlorophyllB,FinalpH,ChlSource,relative_chl,chl_perSqMill,chl
81,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep3,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep3_25fold_AG4632,ES10_81,0.29,0.31,0.67,0.29,0.31,0.67,1,,,6.92,Chl_Chem_Arnon,11.2314,Chl_Chem_Arnon_ngPerSquareMillm,8009.031728
82,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep1,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep1_25fold_AG4632,ES10_82,0.18,0.19,0.49,0.18,0.19,0.49,1,,,4.98,Chl_Chem_Arnon,7.5658,Chl_Chem_Arnon_ngPerSquareMillm,5316.550848
83,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep2,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep2_25fold_AG4632,ES10_83,0.24,0.25,0.54,0.24,0.25,0.54,1,,,5.13,Chl_Chem_Arnon,9.1788,Chl_Chem_Arnon_ngPerSquareMillm,6457.238874
84,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep3,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep3_25fold_AG4632,ES10_84,0.36,0.38,0.86,0.36,0.38,0.86,1,,,6.75,Chl_Chem_Arnon,14.1692,Chl_Chem_Arnon_ngPerSquareMillm,10016.44445
85,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep1,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep1_25fold_AG4632,ES10_85,0.21,0.23,0.56,0.21,0.23,0.56,1,,,7.24,Chl_Chem_Arnon,8.7332,Chl_Chem_Arnon_ngPerSquareMillm,6265.432578
86,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep2,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep2_25fold_AG4632,ES10_86,0.09,0.09,0.24,0.09,0.09,0.24,1,,,4.91,Chl_Chem_Arnon,3.7428,Chl_Chem_Arnon_ngPerSquareMillm,2558.935747
87,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep3,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep3_25fold_AG4632,ES10_87,0.23,0.24,0.55,0.23,0.24,0.55,1,,,6.87,Chl_Chem_Arnon,9.057,Chl_Chem_Arnon_ngPerSquareMillm,6361.335726
88,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep1,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep1_25fold_AG4632,ES10_88,0.27,0.28,0.59,0.216,0.224,0.472,0.8,,,6.3,Chl_Chem_Arnon,8.14864,Chl_Chem_Arnon_ngPerSquareMillm,5724.842517
89,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep2,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep2_25fold_AG4632,ES10_89,0.08,0.09,0.2,0.072,0.081,0.18,0.9,,,6.24,Chl_Chem_Arnon,2.898,Chl_Chem_Arnon_ngPerSquareMillm,2118.044999
90,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep3,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep3_25fold_AG4632,ES10_90,0.2,0.21,0.43,0.2,0.21,0.43,1,,,6.5,Chl_Chem_Arnon,7.4886,Chl_Chem_Arnon_ngPerSquareMillm,5302.80473
91,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep1,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep1_25fold_AG4632,ES10_91,0.31,0.32,0.72,0.31,0.32,0.72,1,,,6.72,Chl_Chem_Arnon,12.0364,Chl_Chem_Arnon_ngPerSquareMillm,8413.263497
92,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep2,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep2_25fold_AG4632,ES10_92,0.22,0.23,0.53,0.22,0.23,0.53,1,,,6.64,Chl_Chem_Arnon,8.6946,Chl_Chem_Arnon_ngPerSquareMillm,6111.268268
93,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep3,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep3_25fold_AG4632,ES10_93,0.06,0.07,0.18,0.06,0.07,0.18,1,,,6.52,Chl_Chem_Arnon,2.6556,Chl_Chem_Arnon_ngPerSquareMillm,1956.024623
94,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep1,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep1_25fold_AG4632,ES10_94,0.02,0.02,0.1,0.02,0.02,0.1,1,,,6.59,Chl_Chem_Arnon,1.206,Chl_Chem_Arnon_ngPerSquareMillm,808.4635376
95,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep2,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep2_25fold_AG4632,ES10_95,0.03,0.03,0.11,0.03,0.03,0.11,1,,,7.07,Chl_Chem_Arnon,1.4882,Chl_Chem_Arnon_ngPerSquareMillm,1007.142893
96,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,25fold,techRep3,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep3_25fold_AG4632,ES10_96,0.21,0.22,0.52,0.21,0.22,0.52,1,,,5.41,Chl_Chem_Arnon,8.4124,Chl_Chem_Arnon_ngPerSquareMillm,5912.588913
